Product,Supplier,Warehouse Location,Quantity,Unit Price,Total Cost,Delivery Date
Widget A,Alpha Corp,Warehouse 3,45,16,721,6/5/2025
Widget A,Epsilon Co,Warehouse 1,85,24,2039,6/1/2025
Widget A,Beta Ltd,Warehouse 1,74,32,2375,6/18/2025
Widget B,Epsilon Co,Warehouse 2,38,25,958,6/9/2025
Widget A,Beta Ltd,Warehouse 3,64,20,1300,6/5/2025
Widget B,Gamma Inc,Warehouse 1,21,22,464,6/12/2025
Gadget X,Epsilon Co,Warehouse 2,15,38,568,6/18/2025
Widget A,Delta LLC,Warehouse 1,80,18,1455,6/21/2025
Tool Z,Gamma Inc,Warehouse 3,34,37,1248,6/2/2025
Widget B,Gamma Inc,Warehouse 1,39,44,1716,6/13/2025
Gadget X,Delta LLC,Warehouse 3,56,12,690,6/12/2025
Widget B,Gamma Inc,Warehouse 3,97,34,3314,6/20/2025
Widget B,Epsilon Co,Warehouse 3,41,12,506,6/13/2025
Gadget X,Epsilon Co,Warehouse 1,97,20,1900,6/25/2025
Widget A,Beta Ltd,Warehouse 1,50,23,1153,6/3/2025
Widget B,Epsilon Co,Warehouse 3,50,15,729,6/16/2025
Gadget Y,Delta LLC,Warehouse 1,43,11,485,6/24/2025
Tool Z,Epsilon Co,Warehouse 2,84,24,2040,6/19/2025
Gadget Y,Gamma Inc,Warehouse 1,27,28,754,6/3/2025
Widget A,Alpha Corp,Warehouse 1,90,12,1098,6/22/2025
Gadget Y,Epsilon Co,Warehouse 1,59,22,1308,6/15/2025
Tool Z,Gamma Inc,Warehouse 3,11,36,392,6/4/2025
Tool Z,Gamma Inc,Warehouse 3,53,10,531,6/14/2025
Widget B,Delta LLC,Warehouse 1,43,49,2095,6/25/2025
Widget B,Epsilon Co,Warehouse 1,90,18,1659,6/21/2025
Tool Z,Epsilon Co,Warehouse 1,29,22,633,6/6/2025
Tool Z,Epsilon Co,Warehouse 1,86,20,1685,6/1/2025
Widget A,Gamma Inc,Warehouse 2,40,8,304,6/29/2025
Tool Z,Alpha Corp,Warehouse 1,72,42,3004,6/25/2025
Tool Z,Beta Ltd,Warehouse 1,94,26,2481,6/18/2025
